Context,Epsilon,Delta,Aproximation_type,Distribution_type,Threads,Total_execution_time,Total_time,Total_exec_time_2,Total_closure_time,Updown_time,Total_closure_computations,Total_up_down_computes,Basis_size,Total_counter_examples,Sum_total_tries,Equal_to_count,Empty_set_closure_computes,Support_avg,Support_p10,Support_p50,Support_p90,Support_p95
StandardDS/census.txt,0.1,0.1,strong,uniform,8,0.371462,0.041059,0.150571,0.005237,0.135986,1291,3461,49,110,1256,1899,1792,4.222737,16.430531,1.345154,0.000000,0.000000
ArtificialDS/Example1/5,0.1,0.1,weak,uniform,8,0.033868,0.011500,0.004312,0.000000,0.012104,0,614,5,22,501,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
ArtificialDS/Example1/5,0.1,0.1,weak,uniform,8,0.035963,0.011552,0.004986,0.000000,0.012729,0,633,5,26,505,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
ArtificialDS/Example1/5,0.1,0.1,strong,uniform,8,0.036897,0.010934,0.004382,0.000067,0.011506,78,582,5,22,470,0,2,0.000000,0.000000,0.000000,0.000000,0.000000
ArtificialDS/Example1/6,0.1,0.1,weak,uniform,8,0.640124,0.245538,0.071377,0.000000,0.264599,0,1037,6,29,862,0,2,0.000000,0.000000,0.000000,0.000000,0.000000
ArtificialDS/Example1/5,0.01,0.1,weak,uniform,8,0.050593,0.013053,0.005314,0.000000,0.025986,0,1541,5,27,1409,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
ArtificialDS/Example1/5,0.01,0.1,strong,uniform,8,0.047487,0.011842,0.004187,0.000104,0.023314,186,1407,5,21,1306,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
ArtificialDS/Example1/6,0.01,0.1,weak,uniform,8,0.852867,0.268895,0.079005,0.000000,0.475103,0,1972,6,32,1777,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
ArtificialDS/Example1/6,0.01,0.1,strong,uniform,8,0.933467,0.329821,0.090501,0.000187,0.549774,179,2264,6,38,2048,2,1,0.000000,0.000000,0.000000,0.000000,0.000000
ArtificialDS/Example1/5,0.01,0.1,weak,uniform,8,0.055640,0.018588,0.004874,0.000000,0.029203,0,1766,5,26,1636,0,1,0.000000,0.000000,0.000000,0.000000,0.000000
ArtificialDS/Example1/5,0.01,0.1,strong,uniform,8,0.048522,0.013048,0.005033,0.000127,0.025310,215,1528,5,25,1401,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
ArtificialDS/Example1/6,0.01,0.1,weak,uniform,8,0.923211,0.340274,0.077103,0.000000,0.544855,0,2306,6,32,2121,1,1,0.000000,0.000000,0.000000,0.000000,0.000000
ArtificialDS/Example1/6,0.01,0.1,strong,uniform,8,0.790135,0.212365,0.074995,0.000139,0.409417,140,1707,6,31,1534,0,1,0.000000,0.000000,0.000000,0.000000,0.000000
ArtificialDS/Example1/5,0.01,0.1,weak,uniform,8,0.050980,0.014401,0.004360,0.000000,0.023930,0,1429,5,21,1318,1,2,0.000000,0.000000,0.000000,0.000000,0.000000
ArtificialDS/Example1/5,0.01,0.1,strong,uniform,8,0.045091,0.011081,0.004345,0.000103,0.022970,171,1384,5,23,1269,-1,0,0.000000,0.000000,0.000000,0.000000,0.000000
ArtificialDS/Example1/6,0.01,0.1,weak,uniform,8,0.833507,0.257673,0.072635,0.000000,0.454383,0,1870,6,30,1684,0,1,0.000000,0.000000,0.000000,0.000000,0.000000
ArtificialDS/Example1/6,0.01,0.1,strong,uniform,8,0.914598,0.316765,0.087535,0.000162,0.531645,180,2248,6,36,2029,1,0,0.000000,0.000000,0.000000,0.000000,0.000000
ArtificialDS/Example1/5,0.01,0.1,weak,uniform,8,0.047006,0.013147,0.004195,0.000000,0.023731,0,1482,5,21,1370,0,1,0.000000,0.000000,0.000000,0.000000,0.000000
ArtificialDS/Example1/5,0.01,0.1,weak,uniform,8,0.046408,0.010409,0.004576,0.000000,0.022459,0,1347,5,23,1230,0,1,0.000000,0.000000,0.000000,0.000000,0.000000
ArtificialDS/Example1/5,0.01,0.1,strong,uniform,8,0.047373,0.012082,0.005079,0.000109,0.025021,186,1479,5,27,1346,0,1,0.000000,0.000000,0.000000,0.000000,0.000000
ArtificialDS/Example1/6,0.01,0.1,weak,uniform,8,0.867818,0.293683,0.072015,0.000000,0.491514,0,2093,6,30,1914,1,0,0.000000,0.000000,0.000000,0.000000,0.000000
ArtificialDS/Example1/6,0.01,0.1,strong,uniform,8,0.854076,0.263903,0.081371,0.000152,0.471263,158,1936,6,33,1736,0,1,0.000000,0.000000,0.000000,0.000000,0.000000
ArtificialDS/Example1/5,0.01,0.1,weak,uniform,8,0.050821,0.013654,0.004864,0.000000,0.024106,0,1467,5,25,1335,0,2,0.000000,0.000000,0.000000,0.000000,0.000000
ArtificialDS/Example1/5,0.01,0.1,strong,uniform,8,0.043478,0.009875,0.004299,0.000109,0.021616,194,1308,5,22,1192,0,2,0.000000,0.000000,0.000000,0.000000,0.000000
ArtificialDS/Example1/6,0.01,0.1,weak,uniform,8,0.904293,0.315666,0.082379,0.000000,0.525497,0,2192,6,33,1991,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
ArtificialDS/Example1/6,0.01,0.1,strong,uniform,8,0.815078,0.237520,0.071835,0.000137,0.429322,130,1743,6,29,1559,1,0,0.000000,0.000000,0.000000,0.000000,0.000000
ArtificialDS/Example1/5,0.01,0.1,weak,uniform,8,0.050892,0.013917,0.004731,0.000000,0.024061,0,1430,5,24,1311,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
ArtificialDS/Example1/5,0.01,0.1,strong,uniform,8,0.044601,0.010809,0.004144,0.000099,0.022440,165,1356,5,22,1238,0,1,0.000000,0.000000,0.000000,0.000000,0.000000
ArtificialDS/Example1/6,0.01,0.1,weak,uniform,8,0.863407,0.267041,0.086126,0.000000,0.482084,0,2008,6,35,1813,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
